text,label
"This product is amazing, totally worth it",real
"BEST PRODUCT EVER!!! BUY NOW!!!",fake
"Works fine, satisfied with purchase",real
"OMG THIS IS LIFE CHANGING!!!",fake
"Decent quality, not the best but okay",real
"100% PERFECT!!! MUST BUY!!!",fake
"Packaging was good and delivery was quick",real
"LOVED ITTTTT!!!!!",fake
"Not bad, does the job",real
"worst thing ever dont buy",fake
"Battery backup is decent",real
"THIS IS SOOOO GOOD!!!",fake
"Product matches description",real
"Absolutely incredible!!!",fake
"Value for money",real
"super amazing deal!!!",fake
"Build quality is solid",real
"UNBELIEVABLE OFFER!!!",fake
"Happy with the purchase",real
"buy buy buy!!!",fake
"Product is okayish",real
"THIS CHANGED MY LIFE!!!",fake
"Received on time",real
"crazy good!!!",fake
"Nice experience overall",real
"musttt buyyyy!!!",fake
"Quality is acceptable",real
"insane product!!!",fake
"Pretty average item",real
"THIS IS NEXT LEVEL!!!",fake
"Works as expected",real
"totally worth every penny!!!",fake
"Does what it says",real
"BEST DEAL EVER!!!",fake
"Simple and useful",real
"OMG JUST BUY IT!!!",fake
"Good product for price",real
"mind blowinggg!!!",fake
"Nothing special",real
"THIS IS CRAZY!!!",fake
"Item is fine",real
"soooo good!!!",fake
"Met expectations",real
"BUY NOWWW!!!",fake
"Usable product",real
"AMAZINGGG!!!",fake
"Reasonable purchase",real
"best thing everrr!!!",fake
"Not too great, not too bad",real
"OMGGGGG!!!",fake
